"exposure_num_minusSD_X","exposure_num_fullModel_X","exposure_num_plusSD_X","exposure_num_minusSD_Y","exposure_num_fullModel_Y","exposure_num_plusSD_Y","subtidal_primary_cover_minusSD_X","subtidal_primary_cover_fullModel_X","subtidal_primary_cover_plusSD_X","subtidal_primary_cover_minusSD_Y","subtidal_primary_cover_fullModel_Y","subtidal_primary_cover_plusSD_Y","day_BS_minusSD_X","day_BS_fullModel_X","day_BS_plusSD_X","day_BS_minusSD_Y","day_BS_fullModel_Y","day_BS_plusSD_Y","matrix_1_minusSD_X","matrix_1_fullModel_X","matrix_1_plusSD_X","matrix_1_minusSD_Y","matrix_1_fullModel_Y","matrix_1_plusSD_Y"
2,2,2,0,0,0,0,0,0,0,0,0,190.78150813867,191,191.21849186133,0,0,0,0,0,0,0,0,0
2.01005025125628,2.01005025125628,2.01005025125628,-0.0252286109542564,0.00261320618032574,0.0304550233149079,0.494049943817224,0.49748743718593,0.500924930554635,0.00992648433902731,0.0169833342078206,0.0240401840766138,194.536314380985,194.753768844221,194.971223307457,-0.000965626109990773,0.000980653642943501,0.00292693339587778,287.00022011315,294.620954773869,302.241689434589,-0.000522126136564203,1.54493589252068e-06,0.000525216008349245
2.02010050251256,2.02010050251256,2.02010050251256,-0.0221007769554056,0.00520014898195475,0.032501074919315,0.988099887634448,0.994974874371859,1.00184986110927,0.0197410795988713,0.033541064039847,0.0473410484808227,198.29111504204,198.507537688442,198.723960334845,-0.00178143762971322,0.00195172228237018,0.00568488219445357,574.000440226299,589.241909547739,604.483378869178,-0.00103952509918916,6.23301277796087e-06,0.00105199112474508
2.03015075376884,2.03015075376884,2.03015075376884,-0.019066123866067,0.007760828404887,0.034587780675841,1.48214983145167,1.49246231155779,1.50277479166391,0.029443147415499,0.0496731894960796,0.0699032315766602,202.045910041626,202.261306532663,202.4767030237,-0.00244862646753775,0.00291320591828002,0.0082750383040978,861.000660339449,883.862864321608,906.725068303767,-0.00154995091810536,1.40643449589578e-05,0.00157807960802328
2.04020100502513,2.04020100502513,2.04020100502513,-0.0161256669109546,0.0102952444491225,0.0367161558091997,1.9761997752689,1.98994974874372,2.00369972221854,0.039031988700653,0.0653797105765181,0.0917274324523833,205.800699298445,206.015075376884,206.229451455324,-0.00296860584138789,0.00386510455067305,0.010698814942734,1148.0008804526,1178.48381909548,1208.96675773836,-0.00205341712271804,2.50389324355116e-05,0.00210349498758907
2.05025125628141,2.05025125628141,2.05025125628141,-0.0132799938029242,0.0128033971146613,0.0388867880322468,2.47024971908612,2.48743718592965,2.50462465277318,0.048506836372821,0.0806606272811627,0.112814418189504,209.555482730101,209.768844221106,209.98220571211,-0.00334306206306353,0.00480741817954924,0.012957898422162,1435.00110056575,1473.10477386935,1511.20844717295,-0.00254993744233789,3.91567752076221e-05,0.00262825099275313
2.06030150753769,2.06030150753769,2.06030150753769,-0.0105292156366379,0.0152852864015033,0.0410997884396446,2.96429966290335,2.98492462311558,3.00554958332781,0.0578668470387062,0.0955159396100131,0.13316503218132,213.310260253099,213.522613065327,213.734965877554,-0.00357402085877886,0.00574014680490861,0.0150543144685961,1722.0013206789,1767.72572864322,1813.45013660753,-0.00303952580902536,5.64178732752895e-05,0.00315236155557594
2.07035175879397,2.07035175879397,2.07035175879397,-0.00787293252195927,0.0177409123096486,0.0433547571412566,3.45834960672057,3.48241206030151,3.50647451388245,0.0671110914479321,0.10994564756307,0.152780203678207,217.065031782841,217.276381909548,217.487732036254,-0.00366393291599575,0.00666329042675114,0.016990513769498,2009.00154079205,2062.34668341709,2115.69182604212,-0.00352219636068636,7.68222266385136e-05,0.00367584081396339
2.08040201005025,2.08040201005025,2.08040201005025,-0.00531021732206555,0.0201702748390972,0.04565076700026,3.95239955053779,3.97989949748744,4.00739944443708,0.0762385435095048,0.123949751140332,0.171660958771159,220.819797233624,221.030150753769,221.240504273914,-0.00361578500393399,0.00757684904507686,0.0187694830940877,2296.0017609052,2356.96763819095,2417.93351547671,-0.00399796344423574,0.000100369835297295,0.00419870311483033
2.09045226130653,2.09045226130653,2.09045226130653,-0.00283961946565749,0.022573373989849,0.0479863674453555,4.44644949435502,4.47738693467337,4.50832437499172,0.0852480676169821,0.137528250341801,0.189808433066619,224.574556518636,224.78391959799,224.993282677344,-0.00343324526567562,0.00848082265988574,0.0203948905854471,2583.00198101835,2651.58859296482,2720.1752049113,-0.00446684161880874,0.000127060699251632,0.004720963017312
2.10050251256281,2.10050251256281,2.10050251256281,-0.000459189070964656,0.0249502097619041,0.0503596085947728,4.94049943817224,4.9748743718593,5.00924930554635,0.0941384039785765,0.150681145167475,0.207223886356374,228.329309549958,228.537688442211,228.746067334464,-0.00312085429692234,0.0093752112711778,0.0218712768392779,2870.0022011315,2946.20954773869,3022.41689434589,-0.00492884565901624,0.000156894818501527,0.00524263529601929
2.1105527638191,2.1105527638191,2.1105527638191,0.00183348018818479,0.0273007821552624,0.0527680841223401,5.43454938198947,5.47236180904523,5.51017423610099,0.102908151586391,0.163408435617356,0.22390871964832,232.084056238563,232.291457286432,232.498858334301,-0.00268427757083191,0.010260014878953,0.023204307328738,3157.00242124465,3240.83050251256,3324.65858378048,-0.00538399055824284,0.000189872193046978,0.00576373494433679
