code,species,genus,family,order,suborder,common name,,,
tisc,oligocottus maculosus,oligocottus,cottidae,scorpaeniformes,cottoidei,tidepool sculpin,,,
tisn,liparis florae,liparis,liparidae,scorpaeniformes,cottoidei,tidepool snailfish,,,
tomc,microgadus proximus,microgadus,gadidae,gadiformes,n-a,tomcod,,,
tube,aulorhynchus flavidus,aulorhynchus,aulorhynchidae,gasterosteiformes,gasterosteoidei,tube-snout,,,
tupo,pallasina barbata,pallasina,agonidae,scorpaeniformes,cottoidei,tubenose poacher,,,
unar,,artedius,cottidae,scorpaeniformes,cottoidei,unidentified artedius,,,
unbg,,,cottidae,scorpaeniformes,cottoidei,unidentified buffalo or great sculpin,,,
uncc,,,,,,unidentified coxcomb,,,
unco,,,gadidae,gadiformes,n-a,unidentified cod,,,
unfl,,,pleuronectiformes,pleuronectiformes,pleuronectoidei,unidentified flatfish,,,
ungr,,,hexagrammidae,scorpaeniformes,hexagrammoidei,unidentified greenling,,,
ungu,,,pholididae,perciformes,zoarcoidei,unidentified gunnel,,,
unil,,hemilepidotus,cottidae,scorpaeniformes,cottoidei,unidentified irish lord,,,
unke,,gibbonsia,clinidae,perciformes,n-a,unidentified kelpfish,,,
unla,,,,,,unidentified larval fish,,,
unpe,,,embiotocidae,perciformes,labroidei,unidentified perch,,,
unpo,,,agonidae,scorpaeniformes,cottoidei,unidentified poacher,,,
unpr,,,,,,unidentified prickleback,,,
unrn,,,bathymasteridae,perciformes,zoarcoidei,unidentified ronquil,,,
unro,,sebastes,scorpaenidae,scorpaeniformes,scorpaenoidei,unidentified rockfish,,,
unsa,,oncorhynchus,salmonidae,salmoniformes,salmonoidei,unidentified salmon,,,
unsc,,,cottidae,scorpaeniformes,cottoidei,unidentified sculpin,,,
unsd,,,paralichthyidae,pleuronectiformes,pleuronectoidei,unidentified sanddab,,,
unsm,,,osmeridae,osmeriformes,osmeroidei,unidentified smelt,,,
unsn,,,liparidae,scorpaeniformes,cottoidei,unidentified snailfish,,,
untr,,,,,,unidentified trout,,,
vero,sebastes miniatus,sebastes,scorpaenidae,scorpaeniformes,scorpaenoidei,vermilion rockfish,,,
wall,theragra chalcogramma,theragra,gadidae,gadiformes,n-a,walleye pollock,,,
wapo,chesnonia verrucosa,chesnonia,agonidae,scorpaeniformes,cottoidei,warty poacher,,,
whgr,hexagrammos stelleri,hexagrammos,hexagrammidae,scorpaeniformes,hexagrammoidei,whitespotted greenling,,,
wiro,sebastes entomelas,sebastes,scorpaenidae,scorpaeniformes,scorpaenoidei,widow rockfish,,,
yero,sebastes flavidus,sebastes,scorpaenidae,scorpaeniformes,scorpaenoidei,yellowtail rockfish,,,
yeso,limanda aspera,limanda,pleuronectidae,pleuronectiformes,pleuronectoidei,yellowfin sole,,,
unsf,,,,,,unidentified schooling fish,,,
uncs,,,,,,unidentified ccottus species,,,
pasr,cololabis saira,,,,,pacific saury,,,
unli,,,,,,unidentified liparis,,,
ungo,,,,,,unknown goby,,,
unba,bathyagonus spp.,,,,,unknown poacher (bathyagonus),,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
