kingdom,phylum,class,order,family,genus,species,kingdom_id,phylum_id,class_id,order_id,family_id,genus_id,species_id,gbif_query,query,taxo_query_level,higher_taxo_source
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus clarkii,1,44,204,1313,8615,2351426,5711980,5711980,cutt,species,gbif
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Microstomus,Microstomus pacificus,1,44,204,588,8611,2409352,5214028,5214028,doso,species,gbif
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salvelinus,Salvelinus malma,1,44,204,1313,8615,2351241,4284020,4284020,dova,species,gbif
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Parophrys,Parophrys vetulus,1,44,204,588,8611,2409369,2409370,2409370,enso,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Oligocottus,Oligocottus snyderi,1,44,204,590,8621,2333736,2333742,2333742,flsc,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Myoxocephalus,Myoxocephalus polyacanthocephalus,1,44,204,590,8621,2333775,2333818,2333818,grsc,species,gbif
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Hippoglossus,Hippoglossus stenolepis,1,44,204,588,8611,2408796,2409216,2409216,hali,species,gbif
Animalia,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,1,44,204,538,7332,2346676,4284072,4284072,herr,species,gbif
Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Anoplarchus,Anoplarchus purpurescens,1,44,204,587,8598,2394913,2394914,2394914,hico,species,gbif
Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,Rimicola,Rimicola muscarum,1,44,204,1163,7668,2411603,5214482,5214482,kecl,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos decagrammus,1,44,204,590,8626,2336463,2336472,2336472,kegr,species,gbif
Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Brachyistius,Brachyistius frenatus,1,44,204,587,4269,2389274,2389277,2389277,kepe,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Ophiodon,Ophiodon elongatus,1,44,204,590,8626,2336520,2336521,2336521,ling,species,gbif
Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Lumpenella,Lumpenella longirostris,1,44,204,587,8598,2394844,2394845,2394845,lopr,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Jordania,Jordania zonope,1,44,204,590,8621,2333883,2333884,2333884,losc,species,gbif
Animalia,Chordata,Actinopterygii,Osmeriformes,Osmeridae,Spirinchus,Spirinchus thaleichthys,1,44,204,1068,8480,2410894,2410897,2410897,losm,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Polypera,Polypera greeni,1,44,204,590,8627,2336110,5201440,5201438,losn,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Liparis,Liparis florae,1,44,204,590,8627,2335959,5201520,5201520,tisn,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos octogrammus,1,44,204,590,8626,2336463,2336486,2336486,magr,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Synchirus,Synchirus gilli,1,44,204,590,8621,2334297,2334298,2334298,masc,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Liparidae,Liparis,Liparis dennyi,1,44,204,590,8627,2335959,5201415,5201415,masn,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Clinocottus,Clinocottus globiceps,1,44,204,590,8621,2333865,2333870,2333870,mosc,species,gbif
Animalia,Chordata,Actinopterygii,Perciformes,Stichaeidae,Chirolophis,Chirolophis nugator,1,44,204,587,8598,2394935,2394956,2394956,mowa,species,gbif
Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,1,44,204,538,7334,2352080,2414024,2414024,noan,species,gbif
Animalia,Chordata,Actinopterygii,Gobiesociformes,Gobiesocidae,Gobiesox,Gobiesox maeandricus,1,44,204,1163,7668,2411258,2411287,2411287,nocl,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Icelinus,Icelinus borealis,1,44,204,590,8621,2334346,2334359,2334359,nosc,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Agonidae,Agonopsis,Agonopsis vulsa,1,44,204,590,8617,2337232,5201655,5201655,nspo,species,gbif
Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Gadus,Gadus macrocephalus,1,44,204,549,3701,2335052,2415853,2415853,paco,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Oxylebius,Oxylebius pictus,1,44,204,590,8626,2336509,2336510,2336510,pagr,species,gbif
Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys sordidus,1,44,204,588,5082,2408301,2408726,2408726,pasa,species,gbif
Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Artedius,Artedius fenestralis,1,44,204,590,8621,2333960,2333969,2333969,pasc,species,gbif
Animalia,Chordata,Actinopterygii,Perciformes,Trichodontidae,Trichodon,Trichodon trichodon,1,44,204,587,5075,7598749,5210437,5210437,pasf,species,gbif
