kingdom,phylum,order,family,genus,species,kingdom_id,phylum_id,order_id,family_id,genus_id,species_id,class,class_id,gbif_query,query,taxo_query_level,higher_taxo_source
Animalia,Chordata,Scorpaeniformes,Cottidae,Cottus,Cottus aleuticus,1,44,590,8621,2334066,2334078,Actinopterygii,NA,2334078,alsc,species,gbif
Animalia,Chordata,Perciformes,Gobiidae,Clevelandia,Clevelandia ios,1,44,587,4274,2379262,5209085,Actinopterygii,NA,5209085,argo,species,gbif
Animalia,Chordata,Perciformes,Gobiidae,Lepidogobius,Lepidogobius lepidus,1,44,587,4274,2379181,2379182,Actinopterygii,NA,2379182,bago,species,gbif
Animalia,Chordata,Clupeiformes,Clupeidae,Alosa,Alosa sapidissima,1,44,538,7332,2412615,2412661,Actinopterygii,NA,2412661,amsh,species,gbif
Animalia,Chordata,Syngnathiformes,Syngnathidae,Syngnathus,Syngnathus leptorhynchus,1,44,773,5901,2332887,2332938,Actinopterygii,NA,2332938,bapi,species,gbif
Animalia,Chordata,Scorpaeniformes,Agonidae,Bathyagonus,Bathyagonus pentacanthus,1,44,590,8617,2337084,2337095,Actinopterygii,NA,2337095,bipo,species,gbif
Animalia,Chordata,Rajiformes,Rajidae,Beringraja,Beringraja binoculata,1,44,884,5877,7554168,7913005,Actinopterygii,121,5216043,bisk,species,gbif
Animalia,Chordata,Perciformes,Gobiidae,Rhinogobiops,Rhinogobiops nicholsii,1,44,587,4274,2376635,2376636,Actinopterygii,NA,2376637,blgo,species,gbif
Animalia,Chordata,Perciformes,Embiotocidae,Embiotoca,Embiotoca jacksoni,1,44,587,4269,2389281,2389282,Actinopterygii,NA,2389282,blpe,species,gbif
Animalia,Chordata,Scorpaeniformes,Agonidae,Xeneretmus,Xeneretmus latifrons,1,44,590,8617,2337120,2337122,Actinopterygii,NA,2337122,blpo,species,gbif
Animalia,Chordata,Perciformes,Stichaeidae,Xiphister,Xiphister atropurpureus,1,44,587,8598,2394808,2394813,Actinopterygii,NA,2394813,blpr,species,gbif
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes melanops,1,44,590,8633,2333712,2335569,Actinopterygii,NA,2335569,blro,species,gbif
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,NA,1,44,590,8633,2333712,NA,Actinopterygii,NA,2333712,byro,species,gbif
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,NA,1,44,590,8633,2333712,NA,Actinopterygii,NA,2333712,cqbr,species,gbif
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,NA,1,44,590,8633,2333712,NA,Actinopterygii,NA,2333712,unro,species,gbif
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes paucispinis,1,44,590,8633,2333712,2335466,Actinopterygii,NA,2335466,boro,species,gbif
Animalia,Chordata,Scorpaeniformes,Cottidae,Hemilepidotus,Hemilepidotus spinosus,1,44,590,8621,2333943,2333952,Actinopterygii,NA,2333952,bril,species,gbif
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes maliger,1,44,590,8633,2333712,2335438,Actinopterygii,NA,2335438,brro,species,gbif
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes maliger,1,44,590,8633,2333712,2335438,Actinopterygii,NA,2335438,qbro,species,gbif
Animalia,Chordata,Scorpaeniformes,Cottidae,Enophrys,Enophrys bison,1,44,590,8621,2333763,5201188,Actinopterygii,NA,5201188,busc,species,gbif
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Isopsetta,Isopsetta isolepis,1,44,588,8611,2409201,2409202,Actinopterygii,NA,2409202,buso,species,gbif
Animalia,Chordata,Scorpaeniformes,Cottidae,Scorpaenichthys,Scorpaenichthys marmoratus,1,44,590,8621,2334338,5201222,Actinopterygii,NA,5201222,cabe,species,gbif
Animalia,Chordata,Osmeriformes,Osmeridae,Mallotus,Mallotus villosus,1,44,1068,8480,2410910,5214420,Actinopterygii,NA,5214420,cape,species,gbif
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes pinniger,1,44,590,8633,2333712,2335525,Actinopterygii,NA,2335525,caro,species,gbif
Animalia,Chordata,Scorpaeniformes,Cottidae,Clinocottus,Clinocottus embryum,1,44,590,8621,2333865,2333877,Actinopterygii,NA,2333877,casc,species,gbif
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus tshawytscha,1,44,1313,8615,2351426,5204024,Actinopterygii,NA,5204024,chin,species,gbif
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes nebulosus,1,44,590,8633,2333712,2335508,Actinopterygii,NA,2335508,chro,species,gbif
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus keta,1,44,1313,8615,2351426,5204014,Actinopterygii,NA,5204014,chum,species,gbif
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kisutch,1,44,1313,8615,2351426,5204034,Actinopterygii,NA,5204034,coho,species,gbif
Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes caurinus,1,44,590,8633,2333712,2335455,Actinopterygii,NA,2335455,coro,species,gbif
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Pleuronichthys,Pleuronichthys coenosus,1,44,588,8611,2409240,2409249,Actinopterygii,NA,2409249,coso,species,gbif
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Pleuronichthys,Pleuronichthys decurrens,1,44,588,8611,2409240,2409246,Actinopterygii,NA,2409246,cuso,species,gbif
Animalia,Chordata,Perciformes,Pholidae,Pholis,Pholis laeta,1,44,587,8576,2390397,5210424,Actinopterygii,NA,5210424,crgu,species,gbif
Animalia,Chordata,Perciformes,Clinidae,Gibbonsia,Gibbonsia montereyensis,1,44,587,4261,2380263,5209308,Actinopterygii,NA,5209308,crke,species,gbif
Animalia,Chordata,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus clarkii,1,44,1313,8615,2351426,5711980,Actinopterygii,NA,5711980,cutt,species,gbif
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Microstomus,Microstomus pacificus,1,44,588,8611,2409352,5214028,Actinopterygii,NA,5214028,doso,species,gbif
Animalia,Chordata,Salmoniformes,Salmonidae,Salvelinus,Salvelinus malma,1,44,1313,8615,2351241,4284020,Actinopterygii,NA,4284020,dova,species,gbif
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Parophrys,Parophrys vetulus,1,44,588,8611,2409369,2409370,Actinopterygii,NA,2409370,enso,species,gbif
Animalia,Chordata,Scorpaeniformes,Cottidae,Oligocottus,Oligocottus snyderi,1,44,590,8621,2333736,2333742,Actinopterygii,NA,2333742,flsc,species,gbif
Animalia,Chordata,Scorpaeniformes,Cottidae,Myoxocephalus,Myoxocephalus polyacanthocephalus,1,44,590,8621,2333775,2333818,Actinopterygii,NA,2333818,grsc,species,gbif
Animalia,Chordata,Pleuronectiformes,Pleuronectidae,Hippoglossus,Hippoglossus stenolepis,1,44,588,8611,2408796,2409216,Actinopterygii,NA,2409216,hali,species,gbif
Animalia,Chordata,Clupeiformes,Clupeidae,Clupea,Clupea pallasii,1,44,538,7332,2346676,4284072,Actinopterygii,NA,4284072,herr,species,gbif
Animalia,Chordata,Perciformes,Stichaeidae,Anoplarchus,Anoplarchus purpurescens,1,44,587,8598,2394913,2394914,Actinopterygii,NA,2394914,hico,species,gbif
Animalia,Chordata,Gobiesociformes,Gobiesocidae,Rimicola,Rimicola muscarum,1,44,1163,7668,2411603,5214482,Actinopterygii,NA,5214482,kecl,species,gbif
Animalia,Chordata,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos decagrammus,1,44,590,8626,2336463,2336472,Actinopterygii,NA,2336472,kegr,species,gbif
Animalia,Chordata,Perciformes,Embiotocidae,Brachyistius,Brachyistius frenatus,1,44,587,4269,2389274,2389277,Actinopterygii,NA,2389277,kepe,species,gbif
Animalia,Chordata,Scorpaeniformes,Hexagrammidae,Ophiodon,Ophiodon elongatus,1,44,590,8626,2336520,2336521,Actinopterygii,NA,2336521,ling,species,gbif
Animalia,Chordata,Perciformes,Stichaeidae,Lumpenella,Lumpenella longirostris,1,44,587,8598,2394844,2394845,Actinopterygii,NA,2394845,lopr,species,gbif
Animalia,Chordata,Scorpaeniformes,Cottidae,Jordania,Jordania zonope,1,44,590,8621,2333883,2333884,Actinopterygii,NA,2333884,losc,species,gbif
Animalia,Chordata,Osmeriformes,Osmeridae,Spirinchus,Spirinchus thaleichthys,1,44,1068,8480,2410894,2410897,Actinopterygii,NA,2410897,losm,species,gbif
Animalia,Chordata,Scorpaeniformes,Liparidae,Polypera,Polypera greeni,1,44,590,8627,2336110,5201440,Actinopterygii,NA,5201438,losn,species,gbif
Animalia,Chordata,Scorpaeniformes,Liparidae,Liparis,Liparis florae,1,44,590,8627,2335959,5201520,Actinopterygii,NA,5201520,tisn,species,gbif
Animalia,Chordata,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos octogrammus,1,44,590,8626,2336463,2336486,Actinopterygii,NA,2336486,magr,species,gbif
Animalia,Chordata,Scorpaeniformes,Cottidae,Synchirus,Synchirus gilli,1,44,590,8621,2334297,2334298,Actinopterygii,NA,2334298,masc,species,gbif
