site,year,month,day,location,depth,temp,salinity,ph,secchi
hab2,2018,7,12,d1,0,15.8,24.4,8.31,bottom
hab2,2018,7,12,d2,1,15.5,26.09,8.32,bottom
hab2,2018,7,12,d3,5,12.7,29.55,8.26,bottom
hab2,2018,7,12,d4,7,12.4,29.74,8.24,bottom
kis2,2018,7,13,a1,0,13.5,30.65,7.84,6.5
kis2,2018,7,13,b1,0,13.7,30.67,8.08,6.5
kis2,2018,7,13,b2,1,13.7,30.65,8.04,6.5
kis2,2018,7,13,c1,0,13.8,30.65,8.11,6.5
kis2,2018,7,13,c2,1,13.8,30.64,8.12,6.5
kis2,2018,7,13,c3,3,13.8,30.65,8.1,6.5
kis2,2018,7,13,d1,0,14.2,30.5,8.15,6.5
kis2,2018,7,13,d2,1,14,30.55,8.15,6.5
kis2,2018,7,13,d3,5,12.7,31.14,8.07,6.5
kis2,2018,7,13,d4,10,11.5,31.45,7.97,6.5
kis1,2018,7,13,a1,0,14.3,29.58,7.95,7
kis1,2018,7,13,b1,0,14.3,30.19,8.08,7
kis1,2018,7,13,b2,1,14.3,30.22,8.1,7
kis1,2018,7,13,c1,0,14.2,30.22,8.12,7
kis1,2018,7,13,c2,1,14.3,30.28,8.12,7
kis1,2018,7,13,c3,3,14.3,30.3,8.13,7
kis1,2018,7,13,d1,0,14.3,30.32,8.14,7
kis1,2018,7,13,d2,1,14.3,30.33,8.14,7
kis1,2018,7,13,d3,5,13.2,30.89,8.05,7
kis1,2018,7,13,d4,10,11.9,31.33,7.98,7
gog4,2018,7,14,a1,0,12.8,31.29,7.89,bottom
gog4,2018,7,14,b1,0,12.8,31.32,7.9,bottom
gog4,2018,7,14,b2,1,12.9,31.34,7.9,bottom
gog4,2018,7,14,c1,0,12.9,31.34,7.92,bottom
gog4,2018,7,14,c2,1,12.8,31.38,7.9,bottom
gog4,2018,7,14,d1,0,12.9,31.32,7.95,bottom
gog4,2018,7,14,d2,1,12.9,31.34,7.95,bottom
gog4,2018,7,14,d3,4,12,31.49,7.92,bottom
gog1,2018,7,14,a1,0,14.1,31.45,8.12,bottom
gog1,2018,7,14,b1,0,13.9,31.43,8.07,bottom
gog1,2018,7,14,b2,1,13.9,31.44,8.08,bottom
gog1,2018,7,14,c1,0,13.9,31.22,8.04,bottom
gog1,2018,7,14,c2,1,13.9,31.44,8.07,bottom
gog1,2018,7,14,d1,0,13.7,31.41,8.01,bottom
gog1,2018,7,14,d2,1,13.7,31.43,8.01,bottom
gog1,2018,7,14,d3,5,13.7,31.44,8.04,bottom
fan3,2018,7,15,a1,0,13.7,31.79,8.12,5
fan3,2018,7,15,b1,0,12.9,31.34,8.04,5
fan3,2018,7,15,b2,1,12.8,31.4,8.1,5
fan3,2018,7,15,c1,0,12.9,31.34,8.04,5
fan3,2018,7,15,c2,1,12.8,31.4,8.1,5
fan3,2018,7,15,d1,0,12.5,31.47,7.95,5
fan3,2018,7,15,d2,1,12.3,31.44,7.95,5
fan3,2018,7,15,d3,5,11.7,31.5,7.99,5
fan1,2018,7,15,a1,0,12.6,31.39,7.91,7.5
fan1,2018,7,15,b1,0,12.4,31.53,7.9,7.5
fan1,2018,7,15,b2,1,12.3,31.45,7.9,7.5
fan1,2018,7,15,c1,0,12.5,31.45,7.88,7.5
fan1,2018,7,15,c2,1,12.4,31.43,7.89,7.5
fan1,2018,7,15,c3,2,11.9,31.5,7.86,7.5
fan1,2018,7,15,d1,0,12.5,31.54,7.96,7.5
fan1,2018,7,15,d2,1,12.4,31.38,7.97,7.5
fan1,2018,7,15,d3,5,12.2,31.41,7.99,7.5
fan1,2018,7,15,d4,8,10.5,31.72,7.89,7.5
sni2,2018,7,16,a1,0,16.9,22.82,8.33,3.5
sni2,2018,7,16,b1,0,16.3,23.18,8.35,3.5
sni2,2018,7,16,b2,1,15.16,23.35,8.35,3.5
sni2,2018,7,16,c1,0,15.6,23.61,8.35,3.5
sni2,2018,7,16,c2,1,15.2,23.77,8.36,3.5
sni2,2018,7,16,c3,4,14.15,24.98,8.33,3.5
sni2,2018,7,16,d1,0,14.9,23.96,8.36,3.5
sni2,2018,7,16,d2,1,14.5,24.33,8.36,3.5
sni2,2018,7,16,d3,5,11.9,28.93,8.35,3.5
sni2,2018,7,16,d4,10,9.7,30.41,7.91,3.5
sni1,2018,7,16,a1,0,14.3,24.75,8.12,3
sni1,2018,7,16,b1,0,13.7,25.68,8.26,3
sni1,2018,7,16,b2,1,13.5,25.66,8.27,3
sni1,2018,7,16,c1,0,14.13,25.31,8.31,3
sni1,2018,7,16,c2,1,13.4,26.02,8.29,3
sni1,2018,7,16,c3,2.5,12,28.16,8.14,3
sni1,2018,7,16,d1,0,13.9,25.15,8.35,3
sni1,2018,7,16,d2,1,13.5,25.95,8.3,3
sni1,2018,7,16,d3,5,10,30.1,8.03,3
sni1,2018,7,16,d4,10,9.5,30.41,7.9,3
koe3,2018,7,18,a1,0,16.4,22.15,7.93,4.5
koe3,2018,7,18,b1,0,16.5,21.71,7.98,4.5
koe3,2018,7,18,b2,1,15.1,25.21,8.1,4.5
koe3,2018,7,18,c1,0,16.4,21.91,8.64,4.5
koe3,2018,7,18,c2,1,15.2,25.38,8.13,4.5
koe3,2018,7,18,c3,1.5,15,25.48,8.19,4.5
koe3,2018,7,18,d1,0,16.7,21.31,8.14,4.5
koe3,2018,7,18,d2,1,16.3,24.82,8.33,4.5
koe3,2018,7,18,d3,5,12,29.56,8.13,4.5
koe3,2018,7,18,d4,10,9.8,31.34,7.84,4.5
koe1,2018,7,18,a1,0,17.5,21.99,8.14,3
koe1,2018,7,18,b1,0,17.1,21.31,8.14,3
koe1,2018,7,18,b2,1,17,21.76,8.15,3
koe1,2018,7,18,c1,0,17,21.5,8.15,3
koe1,2018,7,18,c2,1,17,22.73,8.18,3
koe1,2018,7,18,c3,2.5,16.4,23.33,8.21,3
koe1,2018,7,18,d1,0,17.9,21.38,8.17,3
koe1,2018,7,18,d2,1,16.6,22.78,8.19,3
koe1,2018,7,18,d3,3,16.3,26.23,8.29,3
ppo,2018,8,23,a1,0,14.8,20.94,8.22,4
ppo,2018,8,23,b1,0,14.6,26.75,8.23,4
ppo,2018,8,23,b2,1,15,27.4,8.16,4
ppo,2018,8,23,c1,0,14.8,26.65,8,4
ppo,2018,8,23,c2,1,15.1,27.51,8.05,4
ppo,2018,8,23,c3,3,14.9,29.79,8.04,4
ppo,2018,8,23,d1,0,14.9,27,8.28,4
ppo,2018,8,23,d2,1,15,27.02,8.28,4
ppo,2018,8,23,d3,5,14,30.93,8.07,4
ppo,2018,8,23,d4,10,12.3,31.77,7.96,4
hdo,2018,8,23,a1,0,14.3,26.45,8.33,3.5
hdo,2018,8,23,b1,0,14.5,26.93,8.24,3.5
hdo,2018,8,23,b2,1,14.7,27.04,8.23,3.5
hdo,2018,8,23,c1,0,14.6,26.99,8.29,3.5
hdo,2018,8,23,c2,1,14.5,26.95,8.31,3.5
hdo,2018,8,23,c3,3,14.8,27.07,8.3,3.5
hdo,2018,8,23,d1,0,14.5,25.91,8.38,3.5
hdo,2018,8,23,d2,1,14.5,26.69,8.36,3.5
hdo,2018,8,23,d3,4,14.9,28.03,8.16,3.5
wfb,2018,8,24,a1,0,10.2,31.76,7.89,5.5
wfb,2018,8,24,b1,0,11.3,31.96,7.92,5.5
wfb,2018,8,24,b2,1,11.2,32.12,7.9,5.5
wfb,2018,8,24,c1,0,11.3,31.53,7.94,5.5
wfb,2018,8,24,c2,1,10.7,32.96,7.82,5.5
wfb,2018,8,24,c3,3,10.1,32.81,7.78,5.5
wfb,2018,8,24,d1,0,12.1,29.96,8.06,5.5
wfb,2018,8,24,d2,1,11.6,31.33,7.98,5.5
wfb,2018,8,24,d3,5,10.5,32.55,7.81,5.5
ssp,2018,8,24,a1,0,11.4,31.04,8.01,
ssp,2018,8,24,b1,0,11.5,31.04,8.02,
ssp,2018,8,24,b2,1,11.4,31.16,8,
ssp,2018,8,24,c1,0,11.5,31.12,7.97,
ssp,2018,8,24,c2,1,11.1,31.55,7.92,
ssp,2018,8,24,c3,3,11,31.86,7.87,
ssp,2018,8,24,d1,0,11.3,31.28,7.97,
ssp,2018,8,24,d2,1,11,31.96,7.92,
ssp,2018,8,24,d3,5,10.7,32.16,7.89,
ssp,2018,8,24,d4,10,10.2,32.67,7.82,
pba,2018,8,25,a1,0,14.7,28.71,8.01,
pba,2018,8,25,b1,0,14.8,28.64,8.1,
pba,2018,8,25,b2,1,14,29.83,7.91,
pba,2018,8,25,c1,0,15.6,27.92,8.1,
pba,2018,8,25,c2,1,13.9,29.68,7.91,
pba,2018,8,25,c3,2,12.5,31.02,7.9,
pba,2018,8,25,d1,0,15,28.08,8.2,
pba,2018,8,25,d2,1,14.7,28.63,8.18,
pba,2018,8,25,d3,5,11,31.62,7.88,
pba,2018,8,25,d4,10,10.5,31.88,7.75,
chp,2018,8,25,a1,0,10.8,32.43,7.76,
chp,2018,8,25,b1,0,10.7,32.29,7.83,
chp,2018,8,25,b2,1,10.7,32.3,7.83,
chp,2018,8,25,c1,0,10.7,32.29,7.82,
chp,2018,8,25,c2,1,10.6,32.53,7.8,
chp,2018,8,25,d1,0,10.6,32.38,7.85,
chp,2018,8,25,d2,1,10.5,32.54,7.84,
chp,2018,8,25,d3,3.5,9.9,32.96,7.75,
hdo,2019,7,29,a1,0,14.6,30.14,7.97,
hdo,2019,7,29,b1,0,14.6,30.14,7.96,
hdo,2019,7,29,b2,1,14.6,30.45,7.91,
hdo,2019,7,29,c1,0,14.3,30.51,8.04,
hdo,2019,7,29,c2,1,14.2,30.61,7.99,
hdo,2019,7,29,c3,1.5,13.8,30.82,7.98,
hdo,2019,7,29,d1,0,14.7,30.29,8.04,
hdo,2019,7,29,d2,1,14.6,30.47,8.09,
hdo,2019,7,29,d3,5,13.5,31.02,8.02,
hdo,2019,7,29,d4,6,13.4,31.06,8.1,
chp,2019,7,29,a1,0,13.2,31.16,7.11,
chp,2019,7,29,b1,0,13,31.51,7.67,
chp,2019,7,29,b2,1,12.9,31.54,7.75,
chp,2019,7,29,c1,0,13,31.48,7.91,
chp,2019,7,29,c2,1,12.9,31.58,7.9,
chp,2019,7,29,c3,1.5,12.8,31.63,7.88,
chp,2019,7,29,d1,0,13.3,31.33,7.97,
chp,2019,7,29,d2,1,13.2,31.41,7.98,
chp,2019,7,29,d3,3,12.8,31.41,7.96,
chp,2019,7,29,d4,3,12.8,31.41,7.96,
wfb,2019,7,30,a1,0,14,7.03,8.01,
wfb,2019,7,30,b1,0,14,30.01,8.04,
wfb,2019,7,30,b2,1,14,30.01,8.05,
wfb,2019,7,30,c1,0,13.9,30.02,8.02,
wfb,2019,7,30,c2,1,14,30.01,8.05,
wfb,2019,7,30,c3,2.5,14,30.04,8.06,
wfb,2019,7,30,d1,0,14.3,27.35,7.98,
wfb,2019,7,30,d2,1,14,29.95,8.03,
