PHYIDENT,REGION,SECTION,UNIT,SUBUNIT,ZONE,COMPONENT,BAR,BMU,BRE,CHB,CHB2,CHB3,CHB4,CHB5,CHB6,CHB7,DIA,FUC,GRA,HAL,HAL2,HAL3,HAL4,HAL5,HAL6,HAL7,MAC,MUS,NER,OYS,RED,RED2,RED3,RED4,RED5,RED6,RED7,SAL,SBR,SBR2,SBR3,SBR4,SBR5,SBR6,SBR7,SED,SUR,ULV,URC,VER,ZOS,FEAT_LEN,OBJECTID,SHAPE
08/08/0912/00,"8","8","912",0,B,1,C,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,709.8405,117240,
08/08/0913/00,"8","8","913",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,400.9592,117245,
08/08/0913/00,"8","8","913",0,B,1,C,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,400.9592,117244,
08/08/0913/00,"8","8","913",0,B,3,,,,,,,,,,C,,,,,,,,,,,,,C,,,,,,,,C,,,,,,,,,,,,C,,,400.9592,117246,
08/08/0913/00,"8","8","913",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,M,,400.9592,117243,
08/08/0918/00,"8","8","918",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,N,,941.8229,117263,
08/08/0918/00,"8","8","918",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,P,P,,P,941.8229,117265,
08/08/0918/00,"8","8","918",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,941.8229,117266,
08/08/0918/00,"8","8","918",0,B,1,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,941.8229,117264,
08/08/0919/00,"8","8","919",0,B,3,,,,,,,,,,C,,,,,,,,,,,,,P,,,,,,,,C,,,,,,,,,,C,,C,,,759.1895,117273,
08/08/0919/00,"8","8","919",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,759.1895,117271,
08/08/0919/00,"8","8","919",0,B,1,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,759.1895,117269,
08/08/0919/00,"8","8","919",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,759.1895,117267,
08/08/0919/00,"8","8","919",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,311.8204,117272,
08/08/0919/00,"8","8","919",0,B,3,,,,,,,,,,C,,,,,,,,,,,,,P,,,,,,,,C,,,,,,,,,,C,,C,,,311.8204,117274,
08/08/0919/00,"8","8","919",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,311.8204,117268,
08/08/0919/00,"8","8","919",0,B,1,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,311.8204,117270,
08/08/0909/00,"8","8","909",0,B,3,,,,,,,,,,P,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,P,,C,,,772.9101,117206,
08/08/0909/00,"8","8","909",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,772.9101,117205,
08/08/0909/00,"8","8","909",0,B,1,P,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772.9101,117204,
08/08/0909/00,"8","8","909",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,M,,772.9101,117203,
08/08/0905/00,"8","8","905",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,M,,673.0925,117175,
08/08/0905/00,"8","8","905",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,673.0925,117179,
08/08/0905/00,"8","8","905",0,B,3,,,,,,,,,,,P,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,P,673.0925,117181,
08/08/0905/00,"8","8","905",0,B,1,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673.0925,117177,
08/08/0910/00,"8","8","910",0,B,3,,,,,,,,,,C,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,P,,C,,,288.6450,117222,
08/08/0910/00,"8","8","910",0,A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,W,,288.6450,117207,
08/08/0910/00,"8","8","910",0,B,1,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,288.6450,117212,
