PHYIDENT,REGION,SECTION,UNIT,SUBUNIT,ZONE,COMPONENT,BAR,BMU,BRE,CHB,CHB2,CHB3,CHB4,CHB5,CHB6,CHB7,DIA,FUC,GRA,HAL,HAL2,HAL3,HAL4,HAL5,HAL6,HAL7,MAC,MUS,NER,OYS,RED,RED2,RED3,RED4,RED5,RED6,RED7,SAL,SBR,SBR2,SBR3,SBR4,SBR5,SBR6,SBR7,SED,SUR,ULV,URC,VER,ZOS,FEAT_LEN,OBJECTID,SHAPE
07/06/1500/00,"7","6","1500",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.1228,84731,
07/06/1500/00,"7","6","1500",0,A,1,P,,,,,,,P,,,,P,,,,,,P,,,,P,P,,,,,,C,,,,,,,,,,,,,P,C,W,,256.1228,84713,
07/06/1501/00,"7","6","1501",0,A,1,P,,,,,,,,,,,C,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,P,M,C,781.8074,84738,
07/06/1501/00,"7","6","1501",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781.8074,84744,
07/06/1501/00,"7","6","1501",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781.8074,84741,
07/06/1502/00,"7","6","1502",0,A,1,P,,,,,,,,,,,C,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,N,P,263.5372,84745,
07/06/1502/00,"7","6","1502",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.5372,84747,
07/06/1502/00,"7","6","1502",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.5372,84746,
07/06/1500/00,"7","6","1500",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862.3699,84721,
07/06/1500/00,"7","6","1500",0,A,1,P,,,,,,,P,,,,P,,,,,,P,,,,P,P,,,,,,C,,,,,,,,,,,,,P,C,W,,862.3699,84712,
07/06/1500/00,"7","6","1500",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,862.3699,84730,
07/06/1501/00,"7","6","1501",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.8436,84743,
07/06/1501/00,"7","6","1501",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.8436,84740,
07/06/1501/00,"7","6","1501",0,A,1,P,,,,,,,,,,,C,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,P,M,C,224.8436,84737,
07/06/1514/00,"7","6","1514",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.8103,84806,
07/06/1514/00,"7","6","1514",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.8103,84799,
07/06/1514/00,"7","6","1514",0,A,1,P,,,,,,,C,,,,P,,,,,,,,,,,P,,,,,,C,,,,,,,,,,,,,P,C,W,,181.8103,84792,
07/06/1514/00,"7","6","1514",0,A,1,P,,,,,,,C,,,,P,,,,,,,,,,,P,,,,,,C,,,,,,,,,,,,,P,C,W,,285.4079,84788,
07/06/1514/00,"7","6","1514",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.4079,84795,
07/06/1514/00,"7","6","1514",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.4079,84802,
07/06/1514/00,"7","6","1514",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.9302,84794,
07/06/1514/00,"7","6","1514",0,A,1,P,,,,,,,C,,,,P,,,,,,,,,,,P,,,,,,C,,,,,,,,,,,,,P,C,W,,420.9302,84787,
07/06/1514/00,"7","6","1514",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.9302,84801,
07/06/1514/00,"7","6","1514",0,A,1,P,,,,,,,C,,,,P,,,,,,,,,,,P,,,,,,C,,,,,,,,,,,,,P,C,W,,155.6697,84789,
07/06/1514/00,"7","6","1514",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.6697,84803,
07/06/1514/00,"7","6","1514",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.6697,84796,
07/06/1514/00,"7","6","1514",0,A,1,P,,,,,,,C,,,,P,,,,,,,,,,,P,,,,,,C,,,,,,,,,,,,,P,C,W,,160.3196,84791,
07/06/1514/00,"7","6","1514",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.3196,84798,
07/06/1514/00,"7","6","1514",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.3196,84805,
07/06/1514/00,"7","6","1514",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621.9528,84804,
07/06/1514/00,"7","6","1514",0,A,1,P,,,,,,,C,,,,P,,,,,,,,,,,P,,,,,,C,,,,,,,,,,,,,P,C,W,,621.9528,84790,
07/06/1514/00,"7","6","1514",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621.9528,84797,
07/06/1514/00,"7","6","1514",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.3189,84807,
07/06/1514/00,"7","6","1514",0,A,1,P,,,,,,,C,,,,P,,,,,,,,,,,P,,,,,,C,,,,,,,,,,,,,P,C,W,,252.3189,84793,
07/06/1514/00,"7","6","1514",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.3189,84800,
07/06/1517/00,"7","6","1517",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.1074,84828,
07/06/1517/00,"7","6","1517",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.1074,84825,
07/06/1517/00,"7","6","1517",0,A,1,P,,,,,,,C,,,,,,,,,,,,,,,P,,,,,,C,,,,,,,,,,,,,P,C,W,P,521.1074,84822,
07/06/1517/00,"7","6","1517",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.1074,84831,
07/06/1517/00,"7","6","1517",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.0391,84824,
07/06/1517/00,"7","6","1517",0,A,1,P,,,,,,,C,,,,,,,,,,,,,,,P,,,,,,C,,,,,,,,,,,,,P,C,W,P,174.0391,84821,
07/06/1517/00,"7","6","1517",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.0391,84830,
07/06/1517/00,"7","6","1517",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.0391,84827,
07/06/1522/00,"7","6","1522",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.6890,84850,
07/06/1518/00,"7","6","1518",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.0345,84833,
07/06/1518/00,"7","6","1518",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.0345,84834,
07/06/1518/00,"7","6","1518",0,A,1,P,,,,,,,C,,,,P,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,P,C,M,P,216.0345,84832,
07/06/1518/00,"7","6","1518",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.0345,84835,
07/06/1523/00,"7","6","1523",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.7685,84857,
07/06/1524/00,"7","6","1524",0,A,1,P,,,,,,,P,,,,P,,,,,,,,,,,P,,,,,,C,,,,,,,,,,,,,P,P,M,,187.8376,84861,
07/06/1524/00,"7","6","1524",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.8376,84865,
07/06/1524/00,"7","6","1524",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.8376,84863,
07/06/1524/00,"7","6","1524",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.8376,84867,
07/06/1526/00,"7","6","1526",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.3330,84877,
07/06/1526/00,"7","6","1526",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.3330,84879,
07/06/1526/00,"7","6","1526",0,A,1,P,,,,,,,C,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,P,P,M,,168.3330,84875,
07/06/1525/00,"7","6","1525",0,A,1,P,,,,,,,C,,,,P,,,,,,,,,,,P,,,,,,C,,,,,,,,,,,,,P,P,M,,120.6241,84868,
07/06/1525/00,"7","6","1525",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.6241,84870,
07/06/1525/00,"7","6","1525",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.6241,84872,
07/06/1526/00,"7","6","1526",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714.8099,84878,
07/06/1526/00,"7","6","1526",0,A,1,P,,,,,,,C,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,P,P,M,,714.8099,84874,
07/06/1526/00,"7","6","1526",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714.8099,84876,
07/06/1525/00,"7","6","1525",0,A,1,P,,,,,,,C,,,,P,,,,,,,,,,,P,,,,,,C,,,,,,,,,,,,,P,P,M,,154.3271,84869,
07/06/1525/00,"7","6","1525",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.3271,84871,
07/06/1525/00,"7","6","1525",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.3271,84873,
07/06/1527/00,"7","6","1527",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859.3718,84885,
07/06/1527/00,"7","6","1527",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859.3718,84887,
07/06/1527/00,"7","6","1527",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859.3718,84883,
07/06/1527/00,"7","6","1527",0,A,1,,,,,,,,C,,,,,,,,,,,,,,P,C,,,,,,C,,,,,,,,,,,,P,,,M,,859.3718,84881,
07/06/1528/00,"7","6","1528",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.5555,84897,
07/06/1528/00,"7","6","1528",0,A,1,,,,,,,,C,,,,,,,,,,,,,,P,C,,,,,,C,,,,,,,,,,,,,,,M,,160.5555,84892,
07/06/1528/00,"7","6","1528",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.5555,84902,
07/06/1528/00,"7","6","1528",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.9168,84894,
07/06/1528/00,"7","6","1528",0,A,1,,,,,,,,C,,,,,,,,,,,,,,P,C,,,,,,C,,,,,,,,,,,,,,,M,,197.9168,84889,
07/06/1528/00,"7","6","1528",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.9168,84899,
07/06/1528/00,"7","6","1528",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.9124,84898,
07/06/1528/00,"7","6","1528",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.9124,84893,
07/06/1528/00,"7","6","1528",0,A,1,,,,,,,,C,,,,,,,,,,,,,,P,C,,,,,,C,,,,,,,,,,,,,,,M,,86.9124,84888,
07/06/1527/00,"7","6","1527",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.8342,84884,
07/06/1527/00,"7","6","1527",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.8342,84886,
07/06/1527/00,"7","6","1527",0,A,1,,,,,,,,C,,,,,,,,,,,,,,P,C,,,,,,C,,,,,,,,,,,,P,,,M,,346.8342,84880,
07/06/1527/00,"7","6","1527",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.8342,84882,
07/06/1546/00,"7","6","1546",0,A,1,,,,,,,,C,,,,,,,,,,,,,,P,C,,,,,,C,,,,,,,,,,,,P,,,M,,161.8675,85022,
07/06/1546/00,"7","6","1546",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.8675,85050,
07/06/1546/00,"7","6","1546",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.8675,85064,
07/06/1546/00,"7","6","1546",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.8675,85036,
07/06/1546/00,"7","6","1546",0,A,1,,,,,,,,C,,,,,,,,,,,,,,P,C,,,,,,C,,,,,,,,,,,,P,,,M,,287.4082,85021,
07/06/1546/00,"7","6","1546",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.4082,85063,
07/06/1546/00,"7","6","1546",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.4082,85035,
07/06/1546/00,"7","6","1546",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.4082,85049,
07/06/1515/00,"7","6","1515",0,A,1,P,,,,,,,C,,,,P,,,,,,,,,,P,P,,,,,,C,,,,,,,,,,,,,,C,W,,543.5938,84809,
07/06/1515/00,"7","6","1515",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.5938,84815,
07/06/1515/00,"7","6","1515",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.5938,84811,
07/06/1515/00,"7","6","1515",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.5938,84813,
07/06/1517/00,"7","6","1517",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.5930,84826,
07/06/1517/00,"7","6","1517",0,A,1,P,,,,,,,C,,,,,,,,,,,,,,,P,,,,,,C,,,,,,,,,,,,,P,C,W,P,345.5930,84820,
07/06/1517/00,"7","6","1517",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.5930,84823,
07/06/1517/00,"7","6","1517",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.5930,84829,
07/06/1515/00,"7","6","1515",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898.0448,84812,
07/06/1515/00,"7","6","1515",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898.0448,84810,
07/06/1515/00,"7","6","1515",0,A,1,P,,,,,,,C,,,,P,,,,,,,,,,P,P,,,,,,C,,,,,,,,,,,,,,C,W,,898.0448,84808,
07/06/1515/00,"7","6","1515",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898.0448,84814,
07/06/1516/00,"7","6","1516",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.3975,84817,
07/06/1516/00,"7","6","1516",0,A,1,P,,,,,,,C,,,,,,,,,,,,,,P,P,,,,,,C,,,,,,,,,,,,,,C,W,,277.3975,84816,
07/06/1516/00,"7","6","1516",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.3975,84818,
07/06/1516/00,"7","6","1516",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.3975,84819,
07/06/1523/00,"7","6","1523",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.5835,84859,
07/06/1523/00,"7","6","1523",0,A,1,P,,,,,,,C,,,,P,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,P,P,M,,450.5835,84853,
07/06/1523/00,"7","6","1523",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.5835,84856,
07/06/1524/00,"7","6","1524",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.4737,84862,
07/06/1524/00,"7","6","1524",0,A,1,P,,,,,,,P,,,,P,,,,,,,,,,,P,,,,,,C,,,,,,,,,,,,,P,P,M,,294.4737,84860,
07/06/1523/00,"7","6","1523",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.1904,84858,
07/06/1523/00,"7","6","1523",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.1904,84855,
07/06/1523/00,"7","6","1523",0,A,1,P,,,,,,,C,,,,P,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,P,P,M,,219.1904,84852,
07/06/1523/00,"7","6","1523",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.7685,84854,
07/06/1523/00,"7","6","1523",0,A,1,P,,,,,,,C,,,,P,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,P,P,M,,252.7685,84851,
07/06/1528/00,"7","6","1528",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.1423,84896,
07/06/1528/00,"7","6","1528",0,A,1,,,,,,,,C,,,,,,,,,,,,,,P,C,,,,,,C,,,,,,,,,,,,,,,M,,250.1423,84891,
07/06/1528/00,"7","6","1528",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.1423,84901,
07/06/1530/00,"7","6","1530",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.9465,84907,
07/06/1530/00,"7","6","1530",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.9465,84908,
07/06/1530/00,"7","6","1530",0,A,1,,,,,,,,C,,,,,,,,,,,,,,P,C,,,,,,C,,,,,,,,,,,,,,,M,,173.9465,84906,
07/06/1546/00,"7","6","1546",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.7449,85041,
07/06/1546/00,"7","6","1546",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.7449,85069,
07/06/1546/00,"7","6","1546",0,A,1,,,,,,,,C,,,,,,,,,,,,,,P,C,,,,,,C,,,,,,,,,,,,P,,,M,,183.7449,85027,
07/06/1546/00,"7","6","1546",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.7449,85055,
07/06/1546/00,"7","6","1546",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0895,85040,
07/06/1546/00,"7","6","1546",0,A,1,,,,,,,,C,,,,,,,,,,,,,,P,C,,,,,,C,,,,,,,,,,,,P,,,M,,151.0895,85026,
07/06/1546/00,"7","6","1546",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0895,85054,
07/06/1546/00,"7","6","1546",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.0895,85068,
07/06/1529/00,"7","6","1529",0,A,1,,,,,,,,C,,,,,,,,,,,,,,C,C,,,,,,C,,,,,,,,,,,,,,,M,,602.5265,84903,
07/06/1529/00,"7","6","1529",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602.5265,84904,
07/06/1529/00,"7","6","1529",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602.5265,84905,
07/06/1528/00,"7","6","1528",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.9441,84900,
07/06/1528/00,"7","6","1528",0,A,1,,,,,,,,C,,,,,,,,,,,,,,P,C,,,,,,C,,,,,,,,,,,,,,,M,,250.9441,84890,
07/06/1528/00,"7","6","1528",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.9441,84895,
07/06/1546/00,"7","6","1546",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.5305,85039,
07/06/1546/00,"7","6","1546",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.5305,85067,
07/06/1546/00,"7","6","1546",0,A,1,,,,,,,,C,,,,,,,,,,,,,,P,C,,,,,,C,,,,,,,,,,,,P,,,M,,166.5305,85025,
07/06/1546/00,"7","6","1546",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.5305,85053,
07/06/1546/00,"7","6","1546",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.8867,85052,
07/06/1546/00,"7","6","1546",0,A,1,,,,,,,,C,,,,,,,,,,,,,,P,C,,,,,,C,,,,,,,,,,,,P,,,M,,164.8867,85024,
07/06/1546/00,"7","6","1546",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.8867,85038,
07/06/1546/00,"7","6","1546",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.8867,85066,
07/06/1546/00,"7","6","1546",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.4047,85051,
07/06/1546/00,"7","6","1546",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.4047,85037,
07/06/1546/00,"7","6","1546",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.4047,85065,
07/06/1546/00,"7","6","1546",0,A,1,,,,,,,,C,,,,,,,,,,,,,,P,C,,,,,,C,,,,,,,,,,,,P,,,M,,151.4047,85023,
07/06/1524/00,"7","6","1524",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.4737,84866,
07/06/1524/00,"7","6","1524",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.4737,84864,
07/06/1537/00,"7","6","1537",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.4431,84930,
07/06/1537/00,"7","6","1537",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.4431,84932,
07/06/1537/00,"7","6","1537",0,A,1,,,,,,,,C,,,,,,,,,,,,,P,P,P,,,,,,C,,,,,,,,,,,,P,,P,M,,130.4431,84928,
07/06/1537/00,"7","6","1537",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.2401,84929,
07/06/1537/00,"7","6","1537",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.2401,84931,
07/06/1537/00,"7","6","1537",0,A,1,,,,,,,,C,,,,,,,,,,,,,P,P,P,,,,,,C,,,,,,,,,,,,P,,P,M,,182.2401,84927,
07/06/1537/00,"7","6","1537",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.2401,84933,
07/06/1533/00,"7","6","1533",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.0854,84919,
07/06/1533/00,"7","6","1533",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.0854,84918,
07/06/1533/00,"7","6","1533",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.0854,84917,
07/06/1533/00,"7","6","1533",0,A,1,,,,,,,,C,,,,,,,,,,,,,,P,P,,,,,,C,,,,,,,,,,,,P,,,M,,369.0854,84916,
07/06/1546/00,"7","6","1546",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0075,85073,
07/06/1546/00,"7","6","1546",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0075,85045,
07/06/1546/00,"7","6","1546",0,A,1,,,,,,,,C,,,,,,,,,,,,,,P,C,,,,,,C,,,,,,,,,,,,P,,,M,,210.0075,85031,
07/06/1546/00,"7","6","1546",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0075,85059,
07/06/1546/00,"7","6","1546",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.4298,85057,
07/06/1546/00,"7","6","1546",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.4298,85043,
07/06/1546/00,"7","6","1546",0,A,1,,,,,,,,C,,,,,,,,,,,,,,P,C,,,,,,C,,,,,,,,,,,,P,,,M,,566.4298,85029,
07/06/1546/00,"7","6","1546",0,B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.4298,85071,
07/06/1532/00,"7","6","1532",0,A,1,,,,,,,,C,,,,,,,,,,,,,,C,P,,,,,,C,,,,,,,,,,,,,,,M,,226.7877,84913,
07/06/1532/00,"7","6","1532",0,B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.7877,84915,
07/06/1532/00,"7","6","1532",0,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.7877,84914,
07/06/1546/00,"7","6","1546",0,A,1,,,,,,,,C,,,,,,,,,,,,,,P,C,,,,,,C,,,,,,,,,,,,P,,,M,,187.8741,85030,
